Disease,Protein
D184700,Q9BZS1
D184700,P18405
D184700,Q9UJM3
D184700,Q3SXZ7
D184700,P02753
D187360,Q9Y2R2
D187950,P40225
D187950,P01127
D187950,P04085
D187950,Q9UQQ2
D187950,P01563
D187950,P27797
D187950,P40238
D187950,P01137
D187950,P09038
D187950,P04637
D188030,P31995
D188050,P01008
D188050,P00488
D188050,P06729
D188050,P40337
D188050,P04070
D188050,P47900
D188050,O00592
D188050,P02776
D188050,P03952
D188050,Q06418
D188050,P02741
D188050,P00750
D188050,Q9UK55
D188050,P00734
D188050,P43115
D188050,P35354
D188050,P33261
D188050,P07204
D188050,P20815
D188050,P01375
D188050,P07359
D188050,P00742
D188050,Q9BQB6
D188050,P00740
D188050,P36888
D188050,P01019
D188050,P04141
D188050,P16109
D188050,P22083
D188050,P04201
D188050,P42898
D188050,P12318
D188050,P00747
D188050,P10646
D188050,P05546
D188050,Q96EB6
D188050,Q14520
D188050,Q9H3S5
D188050,P05160
D188050,Q9H244
D188050,Q14393
D188050,Q9UNN8
D188050,P07225
D188050,P05121
D188050,P08709
D188050,O43474
D188050,P30411
D188050,Q02108
D188050,P00749
D188050,P13726
D188050,P01588
D188050,Q12866
D188050,P02671
D188050,P09601
D188050,P14210
D188470,P10828
D188470,Q9UNW1
D188470,P60484
D188470,P01116
D188470,O95661
D188470,P01111
D188470,P01112
D188890,Q96KS0
D188890,Q01959
D188890,P23560
D188890,P43681
D188890,P49773
D188890,Q15825
D188890,P32297
D188890,P11509
D188890,O75899
D188890,P30532
D188890,Q05901
D188890,P20813
D189600,P21918
D190300,Q96FE5
D190300,P09211
D190300,P35462
D190300,P14867
D190310,P08908
D190310,P35354
D190310,P16442
D190310,P51810
D190310,P47712
D190310,P01137
D190310,O43653
D190310,P54136
D190310,P08173
D190310,P10635
D190310,P07550
D190310,P22303
D190310,P20396
D190310,Q8N2K0
D190310,P29274
D190400,P45984
D190400,P27361
D190400,P06881
D190400,P01584
D190400,P14136
D190400,P01100
D190400,P45983
D190400,P01375
D190400,Q05586
D190400,P05129
D190400,P55008
D190400,P28482
D191100,P01579
D191390,Q8N474
D191390,A1A4Y4
D191390,P49279
D191390,Q5VWK5
D191390,Q676U5
D191390,P05231
D191390,P26012
D191390,P35354
D191390,O95150
D191390,P05362
D191390,P22301
D191390,Q9Y2R2
D191390,O95497
D191390,O95256
D191390,P01375
D191390,Q9P0V8
D191390,P98170
D191390,Q9H257
D191390,Q96HF1
D191390,Q9NS23
D191390,Q13651
D191390,Q13617
D191390,Q08334
D191390,Q92902
D191390,Q3KP66
D191390,P01137
D191390,Q01523
D192200,P01033
D192200,P40337
D192200,Q07507
D192200,Q9UGI6
D192200,P08493
D194070,P19544
D194070,P48060
D194070,P40337
D194070,Q15233
D194070,Q15645
D194070,Q13263
D194070,Q9NPC8
D194070,P35222
D194070,P04637
D194070,Q8IYB7
D194070,Q15475
D194070,Q8WYQ5
D194070,P04198
D194070,O75487
D194070,P49711
D194070,P01344
D194070,P61244
D194070,P78424
D194070,P49918
D194070,Q03111
D194070,P51654
D194200,Q9UGJ0
D200170,P35869
D200170,P00734
D200170,Q03060
D200170,Q15109
D200170,P27361
D200170,Q9Y210
D200170,P60484
D200170,Q96EB6
D200170,P38936
D200170,P01303
D200170,Q15389
D200170,P00846
D200170,P00395
D200170,P05305
D200170,P01019
D200170,P28482
D200170,P09919
D200170,P04808
D202370,P50542
D202370,Q92968
D202370,Q7Z412
D202370,O60683
D202400,P02679
D202400,P02675
D202400,P02671
D203700,P08833
D203700,P28300
D203700,Q08397
D203700,P01009
D203700,P21926
D203700,Q9H1C4
D203700,P21781
D203700,P84022
D203700,Q15493
D203700,P13716
D203700,P00797
D203700,Q9UKG4
D203700,P29279
D203700,P02746
D203700,P13726
D203700,Q16236
D203700,P08185
D203700,P13500
D203700,P00734
D203700,P25116
D203700,P36897
D203700,P60484
D203700,P35222
D203700,Q5HYA8
D203700,Q68DC2
D203700,P42224
D203700,Q15113
D203700,Q8N668
D203700,P05155
D203700,P62736
D203700,O00624
D203700,O00469
D203700,P01137
D203700,Q6XR72
D203700,Q9UBM7
D203700,Q08380
D203700,Q9UBM1
D203700,P05787
D203700,P14210
D203700,P02768
D203700,P10451
D203700,Q13145
D203700,P49407
D203700,Q92769
D203700,P01562
D203700,P80365
D203700,P09486
D203700,P00749
D203700,Q6VVX0
D203700,Q7L3T8
D203700,Q8TCC7
D203700,P13498
D203700,P34972
D203700,P21554
D203700,P08253
D203700,P17535
D203700,P35869
D203700,P50454
D203700,P08571
D203700,P51884
D203700,P05231
D203700,P35348
D203700,P18065
D203700,P27540
D203700,P01160
D203700,P04004
D203700,P01019
D203700,P09382
D203700,P15692
D203700,P20333
D203700,P21802
D203700,P08670
D203700,P37802
D203700,P20309
D203700,Q02318
D203700,P05177
D203700,P02774
D203700,P05783
D203700,P09038
D205700,Q13336
D206200,P02786
D206200,Q04771
D206200,P49281
D206200,Q8IU80
D206200,Q92539
D206200,P00441
D208085,O00204
D208085,P01213
D208085,P01009
D208085,Q86UW1
D208085,Q8IY42
D208085,P19875
D208085,Q6ZNC8
D208085,P05362
D208085,Q6ZVN8
D208085,P22680
D208085,P04040
D208085,O60603
D208085,Q16854
D208085,O15264
D208085,P30837
D208085,P05154
D208085,Q9NWD9
D208085,O95863
D208085,P05019
D208085,O76094
D208085,P35241
D208085,Q9H2A2
D208085,Q14032
D208085,P50993
D208085,Q9GZZ9
D208085,Q16236
D208085,P07951
D208085,Q9BXD5
D208085,Q16539
D208085,P80098
D208085,Q86UW2
D208085,Q86XE5
D208085,Q969S9
D208085,Q0GE19
D208085,Q9BXR6
D208085,P27169
D208085,Q9UBS3
D208085,P36021
D208085,Q9UKB3
D208085,Q5MNZ9
D208085,P05121
D208085,P09327
D208085,Q16572
D208085,O75881
D208085,Q8N5W9
D208085,Q6XR72
D208085,Q9Y6Y9
D208085,Q9BZQ8
D208085,P07510
D208085,Q96PD7
D208085,Q8N135
D208085,P54687
D208085,P15559
D208085,P45378
D208085,Q8N9N2
D208085,Q9H267
D208085,Q96RI0
D208085,Q9UGH3
D208085,Q9H0C3
D208085,P53004
D208085,P01375
D208085,Q04206
D208085,Q00765
D208085,P48788
D208085,P19320
D208085,Q9UHI7
D208085,P51857
D208085,P18146
D208085,Q9UJ83
D208085,Q8TD16
D208085,P02671
D208085,Q96RI1
D208085,Q9Y3B3
D208085,Q9BX10
D208085,Q9UNU6
D208085,P38571
D208085,P05231
D208085,Q9NYQ3
D208085,P47928
D208085,Q16637
D208085,P39210
D208085,Q13133
D208085,Q6ZNB6
D208085,Q9Y276
D208085,P01019
D208085,P01189
D208085,Q96DZ1
D208085,P10145
D208085,Q99523
D208085,P35680
D208085,Q9H2F3
D208085,Q9H9C1
D208085,Q14201
D208085,Q02318
D208085,P05177
D208085,P16930
D208085,P55055
D208230,P02788
D208230,O95389
D208550,P08887
D208550,Q8N138
D208550,P08571
D208550,P01920
D208550,Q9UI47
D208550,P09211
D208550,Q8NI36
D208550,P15559
D208550,P43116
D208550,Q8TAX9
D208550,P05231
D208550,P07550
D208550,P41586
D208550,P05112
D208550,P15514
D208550,P01911
D208550,P09917
D208550,P00441
D208550,P17693
D208550,Q13093
D208550,Q9UKT9
D208550,Q6ZTQ4
D208550,P05362
D208550,Q07343
D208550,P78540
D208550,P35225
D208550,P09238
D208550,P60484
D208550,P12724
D208550,P09874
D208550,P01375
D208550,Q6K0P9
D208550,Q08499
D208550,P21583
D208550,P51671
D208550,Q6W5P4
D208550,P04040
D208550,P10242
D208550,P35325
D208550,Q9UL17
D208550,P15692
D208550,Q9Y5Y4
D208550,Q01638
D208550,O95760
D208550,Q969D9
D208550,P14780
D208550,P08727
D208550,Q9Y496
D208550,Q8IZI9
D208550,P04440
D208550,P16050
D208550,P05091
D208550,P02818
D208550,P10415
D208550,P01303
D208550,P09488
D208550,P03956
D208550,P80365
D208550,P67775
D208550,P05089
D208550,P18510
D208550,P01909
D208550,P50135
D208550,P01137
D208550,P13501
D208550,O95715
D208550,P00749
D208550,Q15025
D208550,Q96PL1
D208550,P09601
D208550,Q8TAX7
D208550,P13500
D208550,P05305
D208550,P35625
D208550,P01584
D208550,P05113
D208700,Q9H0V9
D208700,O00571
D208700,O14672
D208700,Q00059
D208700,O96008
D208700,P06276
D208700,P56817
D208700,P20138
D208700,Q13418
D208700,P27338
D208700,Q9H9P8
D208700,Q9UHI8
D208700,P0DP25
D208700,O60741
D208700,P48444
D208700,P08913
D208700,P04179
D208700,P31749
D208700,Q9BY44
D208700,Q9NZC7
D208700,Q06889
D208700,P06733
D208700,P01308
D208700,P05019
D208700,P22303
D208700,O00305
D208700,Q8WXW3
D208700,P01344
D208700,Q6NXT4
D208700,Q14442
D208700,P61764
D208700,P43005
D208700,Q96CW1
D208700,P07203
D208700,P14136
D208700,P14735
D208700,O00499
D208700,Q30154
D208700,P08172
D208700,P41143
D208700,P01034
D208700,O95259
D208700,P49841
D208700,Q92542
D208700,P00734
D208700,P36544
D208700,O14773
D208700,Q92692
D208700,P15328
D208700,O95630
D208700,Q15392
D208700,Q9NZV8
D208700,P21796
D208700,Q96JQ5
D208700,P10909
D208700,P17787
D208700,Q5T160
D208700,Q9BRB3
D208700,P02787
D208700,P23560
D208700,P10636
D208700,Q9P2A4
D208700,P00367
D208700,P42574
D208700,O00264
D208700,P63261
D208700,P01137
D208700,P05067
D208700,Q8NCM2
D208700,P55316
D208700,P37231
D208700,P25705
D208700,P78381
D208700,P48431
D208700,P41091
D208700,P02768
D208700,P49768
D208700,Q05193
D208700,P22607
D208700,Q96DA2
D208700,Q9NZC2
D208700,O75460
D208700,Q05639
D208700,P11229
D208700,Q30201
D208700,Q9Y5P4
D208700,P04156
D208700,Q00839
D208700,Q7Z6L0
D208700,Q00577
D208700,P01375
D208700,P61266
D208700,Q7LC44
D208700,Q16881
D208700,Q9NQ75
D208700,O76039
D208700,Q13303
D208700,P10082
D208700,Q6ZNB7
D208700,P45880
D208700,P42898
D208700,P04350
D208700,P14867
D208700,P18507
D208700,Q9UBL9
D208700,P63302
D208700,P05164
D208700,Q5JPH6
D208700,P11166
D208700,P60174
D208700,P60880
D208700,P41159
D208700,Q13492
D208700,Q99571
D208700,O14556
D208700,P00749
D208700,P49810
D208700,P09601
D208700,Q9Y484
D208700,P43004
D208700,P06850
D208700,P14672
D208700,P51608
D208700,O43526
D208700,P47870
D208700,Q9Y289
D208700,Q9Y6A2
D208700,Q96N76
D208700,P35372
D208700,P02649
D208700,P21709
D208700,P54136
D208700,P01100
D208700,Q9Y5K6
D208700,P49146
D208700,P53539
D208700,P01189
D208700,P15692
D208700,P62760
D208700,P03372
D208700,Q06413
D208700,Q14515
D208700,Q16555
D208700,Q07812
D208700,P09471
D208700,Q05086
D208700,Q8N0W5
D208700,P43003
D208700,Q9UKV5
D208700,Q9Y397
D208700,P05198
D208700,P48169
D208700,P10415
D208700,P01303
D208700,O14863
D208700,P02654
D208700,Q9NX46
D208700,O75027
D208700,P19367
D208700,P30531
D208700,P28472
D208700,P10635
D208700,Q96TA2
D208700,Q13627
D208700,P01584
D208920,P05231
D208920,Q96N76
D208920,P54136
D208920,O60741
D208920,P48444
D208920,P20333
D208920,P14867
D208920,P04350
D208920,Q06889
D208920,P49959
D208920,P48169
D208920,P11166
D208920,O00305
D208920,Q8WXW3
D208920,Q9NX46
D208920,O75027
D208920,P19367
D208920,Q96CW1
D208920,Q96TA2
D208920,Q7Z2E3
D208920,P48431
D208920,P02768
D209850,P06730
D209850,P10275
D209850,Q86VH5
D209850,P26367
D209850,P42658
D209850,P09211
D209850,Q14847
D209850,Q8NDZ4
D209850,P07550
D209850,P27338
D209850,Q8IVB4
D209850,P00813
D209850,P35354
D209850,Q07343
D209850,P35225
D209850,P00374
D209850,P00918
D209850,Q9GZN7
D209850,Q16515
D209850,P20783
D209850,Q13002
D209850,Q6NUK4
D209850,P56177
D209850,P34913
D209850,P04040
D209850,P04439
D209850,P60568
D209850,Q04760
D209850,P14920
D209850,P01185
D209850,Q9Y5J3
D209850,P47869
D209850,Q15326
D209850,Q96T52
D209850,Q14011
D209850,O94832
D209850,Q9UH90
D209850,Q01831
D209850,P05019
D209850,Q9UBS5
D209850,Q9Y6K1
D209850,Q9NY99
D209850,Q16623
D209850,Q9Y6N8
D209850,P00439
D209850,P35462
D209850,Q155Q3
D209850,P01344
D209850,P35398
D209850,P98155
D209850,O60462
D209850,P48775
D209850,P01282
D209850,P43005
D209850,P07203
D209850,Q9NRI5
D209850,P05771
D209850,Q9UEW8
D209850,P47898
D209850,P80404
D209850,O75553
D209850,Q9BXF6
D209850,P49639
D209850,Q14872
D209850,Q9BZK7
D209850,P11511
D209850,P63162
D209850,Q16620
D209850,Q08J23
D209850,Q8N7P1
D209850,P27635
D209850,P01911
D209850,P16471
D209850,Q8N2Q7
D209850,Q9UBC3
D209850,P78347
D209850,P48436
D209850,P36544
D209850,P22301
D209850,P78352
D209850,P48039
D209850,P60484
D209850,P27169
D209850,P35711
D209850,P37288
D209850,Q15392
D209850,Q9NZV8
D209850,P62256
D209850,P17787
D209850,P28221
D209850,Q9NP59
D209850,Q07687
D209850,P02787
D209850,P23560
D209850,O00548
D209850,Q7Z3F1
D209850,P18505
D209850,P28223
D209850,P47712
D209850,P36021
D209850,P30559
D209850,Q16394
D209850,Q96NR3
D209850,P05121
D209850,Q8N653
D209850,Q9NVH6
D209850,P48029
D209850,P45954
D209850,O60260
D209850,O00222
D209850,P16284
D209850,P49286
D209850,Q9H3W5
D209850,P55087
D209850,Q99259
D209850,P42261
D209850,Q92813
D209850,Q8N608
D209850,Q9UBM7
D209850,Q9H7Z6
D209850,P05113
D209850,Q16650
D209850,P23416
D209850,Q9P0L2
D209850,O95243
D209850,Q12872
D209850,Q96DA2
D209850,P46098
D209850,O95983
D209850,P05112
D209850,Q8NHY2
D209850,Q30201
D209850,Q99581
D209850,P14174
D209850,Q6UXD5
D209850,P23508
D209850,Q9NWB1
D209850,O75534
D209850,P21728
D209850,P34903
D209850,P31645
D209850,P31277
D209850,P17936
D209850,O75746
D209850,P30989
D209850,O75899
D209850,P43251
D209850,P01579
D209850,Q8IWU9
D209850,P05106
D209850,Q8TAC9
D209850,P10912
D209850,Q8WZ75
D209850,P42898
D209850,Q9NZN1
D209850,Q9H7Y0
D209850,Q99743
D209850,P27361
D209850,P14867
D209850,Q7KZF4
D209850,Q9UL18
D209850,P09544
D209850,P21964
D209850,P10144
D209850,Q9ULB4
D209850,P11161
D209850,P09488
D209850,P55073
D209850,A1Z1Q3
D209850,P01178
D209850,Q9NZ94
D209850,P43681
D209850,P17302
D209850,P18510
D209850,P41159
D209850,P06881
D209850,Q15572
D209850,P28222
D209850,P78424
D209850,P46597
D209850,P49441
D209850,P27815
D209850,Q8NFX7
D209850,Q92186
D209850,Q9H334
D209850,Q8WXA8
D209850,Q03405
D209850,P51608
D209850,P05231
D209850,P02808
D209850,Q9BYV8
D209850,Q9UPQ3
D209850,P41440
D209850,P43354
D209850,P20062
D209850,Q13585
D209850,P21397
D209850,P01189
D209850,O95045
D209850,Q8IWQ3
D209850,Q8NEL9
D209850,P20333
D209850,P40933
D209850,O15409
D209850,P31644
D209850,Q06413
D209850,P09683
D209850,Q05086
D209850,P43003
D209850,P01112
D209850,P48169
D209850,P34130
D209850,P10415
D209850,Q96N16
D209850,Q9UBR1
D209850,O60907
D209850,Q9UN88
D209850,P30566
D209850,P01236
D209850,Q9BY67
D209850,Q8N0W4
D209850,P28472
D209850,P10826
D209850,P14222
D209850,P35318
D209850,Q06787
D209850,P15515
D209850,P78337
D209850,P19622
D209850,O76064
D210050,P08833
D210050,O00206
D210050,P28300
D210050,Q8N474
D210050,Q08397
D210050,P01009
D210050,P07099
D210050,P21926
D210050,P07550
D210050,Q15389
D210050,Q9H1C4
D210050,Q9NSD9
D210050,P35354
D210050,P06870
D210050,P10600
D210050,Q9NYA1
D210050,P08913
D210050,P04179
D210050,P21781
D210050,P31749
D210050,P84022
D210050,Q15493
D210050,P13716
D210050,P00797
D210050,Q9UKG4
D210050,P29279
D210050,Q9NWX6
D210050,P02746
D210050,P13726
D210050,Q16236
D210050,P08185
D210050,P37173
D210050,P13500
D210050,P02708
D210050,P61812
D210050,P11511
D210050,P00734
D210050,P01127
D210050,P25116
D210050,P36897
D210050,P60484
D210050,P35222
D210050,Q5HYA8
D210050,P18825
D210050,Q68DC2
D210050,P22830
D210050,P42224
D210050,Q15113
D210050,Q96EB6
D210050,Q8N668
D210050,P05155
D210050,P62736
D210050,O00624
D210050,P30279
D210050,O00469
D210050,P01137
D210050,P39900
D210050,Q6XR72
D210050,Q9UBM7
D210050,Q08380
D210050,Q9UBM1
D210050,P05787
D210050,P14210
D210050,P02768
D210050,P40763
D210050,P10451
D210050,P07585
D210050,Q9GZP0
D210050,Q13145
D210050,P05112
D210050,P09919
D210050,P49407
D210050,P01375
D210050,Q92769
D210050,P15502
D210050,P14780
D210050,P01562
D210050,P80365
D210050,P18510
D210050,P09486
D210050,P14598
D210050,P00749
D210050,Q6VVX0
D210050,Q8TCC7
D210050,P09601
D210050,P13498
D210050,P34972
D210050,P01584
D210050,P21554
D210050,P08253
D210050,P17535
D210050,P35869
D210050,P50454
D210050,P08571
D210050,P51884
D210050,O75787
D210050,P05231
D210050,P35348
D210050,P18065
D210050,P27540
D210050,P01160
D210050,P04004
D210050,P01019
D210050,P20366
D210050,P09382
D210050,P15692
D210050,P20333
D210050,Q15109
D210050,P21802
D210050,P08670
D210050,O14733
D210050,P18564
D210050,P37802
D210050,P20309
D210050,Q02318
D210050,P05177
D210050,P02774
D210050,O14975
D210050,P17931
D210050,P11509
D210050,P36969
D210050,P05783
D210050,P09038
D211980,P18847
D211980,P01009
D211980,Q12805
D211980,P07099
D211980,Q16678
D211980,P23526
D211980,P11362
D211980,Q7Z4G4
D211980,P00813
D211980,P08247
D211980,Q9UHI8
D211980,O43175
D211980,Q13144
D211980,Q06830
D211980,P15498
D211980,Q13002
D211980,P04179
D211980,Q9H9B4
D211980,Q7LFX5
D211980,P48643
D211980,P50461
D211980,P05089
D211980,P30040
D211980,P52292
D211980,P37173
D211980,P48050
D211980,P19544
D211980,O60216
D211980,P04818
D211980,O15350
D211980,P48506
D211980,P60484
D211980,P35222
D211980,O00716
D211980,P49908
D211980,P24385
D211980,O60341
D211980,P25713
D211980,Q13761
D211980,Q9Y6E2
D211980,P01350
D211980,P57730
D211980,P05155
D211980,P02775
D211980,Q9HBY8
D211980,P35249
D211980,Q8IYT2
D211980,Q96AG4
D211980,P02768
D211980,P34897
D211980,Q13887
D211980,Q9P286
D211980,P26583
D211980,P36507
D211980,Q9HC35
D211980,O75460
D211980,Q9NYY3
D211980,Q15822
D211980,P09919
D211980,P09917
D211980,Q02535
D211980,P13010
D211980,P31371
D211980,P50591
D211980,P78395
D211980,P23921
D211980,Q96GV9
D211980,P30711
D211980,P51959
D211980,P53609
D211980,P52815
D211980,Q7L591
D211980,Q13228
D211980,P60174
D211980,P02766
D211980,P43699
D211980,P15056
D211980,P09497
D211980,P49023
D211980,Q9H2K8
D211980,P01106
D211980,P22102
D211980,P35869
D211980,O43570
D211980,P51452
D211980,Q63ZE4
D211980,P01135
D211980,Q01826
D211980,Q14232
D211980,Q14469
D211980,O95427
D211980,P18669
D211980,P53539
D211980,P10145
D211980,P21802
D211980,P02774
D211980,Q9BQI3
D211980,P38936
D211980,P01116
D211980,P19367
D211980,P10826
D211980,P11509
D211980,P29320
D211980,P01584
D211980,Q9UMW8
D211980,Q9UI10
D211980,P23511
D211980,P41227
D211980,P04040
D211980,Q9Y2P8
D211980,P25311
D211980,Q13609
D211980,P07988
D211980,P55042
D211980,Q9BZL6
D211980,Q9NZQ7
D211980,P55290
D211980,P60228
D211980,Q9Y2X3
D211980,P17643
D211980,P06400
D211980,O75607
D211980,Q9UEW8
D211980,Q16620
D211980,O95436
D211980,P31350
D211980,P30154
D211980,O60496
D211980,Q15382
D211980,O00567
D211980,Q16517
D211980,O00584
D211980,Q9UH17
D211980,Q14061
D211980,P04637
D211980,P31947
D211980,Q92908
D211980,P49789
D211980,O14960
D211980,Q9NZ81
D211980,P00540
D211980,O95980
D211980,P30279
D211980,Q53GA4
D211980,O43809
D211980,O95715
D211980,P23141
D211980,Q86UB9
D211980,P61952
D211980,P78318
D211980,P24347
D211980,Q99650
D211980,P10451
D211980,P15514
D211980,P09104
D211980,Q8NBJ4
D211980,P06748
D211980,P29322
D211980,Q9Y5P4
D211980,Q07973
D211980,Q6P4A8
D211980,Q16647
D211980,P01579
D211980,P30041
D211980,P27361
D211980,Q7KZF4
D211980,O00244
D211980,P43351
D211980,O75461
D211980,P10914
D211980,P02786
D211980,Q04743
D211980,Q9NRZ9
D211980,O60488
D211980,O00622
D211980,P51946
D211980,P17535
D211980,P17275
D211980,P22304
D211980,Q08AH1
D211980,P02649
D211980,P31751
D211980,P09651
D211980,P01160
D211980,Q9H720
D211980,P01100
D211980,P05181
D211980,P03372
D211980,P48023
D211980,O14733
D211980,Q8N726
D211980,P01112
D211980,P03956
D211980,Q9HD47
D211980,P05412
D211980,Q8NBJ9
D211980,Q9NQC7
D211980,P49918
D211980,P00338
D211980,P11836
D211980,P08887
D211980,O00206
D211980,Q16288
D211980,O96008
D211980,Q01650
D211980,P55774
D211980,P54886
D211980,P30532
D211980,Q15831
D211980,P42772
D211980,Q9Y6K9
D211980,O60895
D211980,P02656
D211980,P46527
D211980,Q9NQS1
D211980,P31749
D211980,Q9Y580
D211980,Q9Y5J3
D211980,Q6VAB6
D211980,Q01831
D211980,P04183
D211980,Q9Y6K1
D211980,P08195
D211980,P29966
D211980,O96017
D211980,P06454
D211980,Q9H161
D211980,Q6P3W7
D211980,Q9NY12
D211980,Q92963
D211980,P39748
D211980,Q96SI9
D211980,Q16696
D211980,P33176
D211980,P62807
D211980,Q9UKQ2
D211980,P19525
D211980,P36544
D211980,P22301
D211980,P10721
D211980,P31431
D211980,P83881
D211980,Q14209
D211980,Q92743
D211980,P62308
D211980,P41279
D211980,O43187
D211980,O60260
D211980,P08865
D211980,Q13586
D211980,Q9Y617
D211980,P01137
D211980,P39687
D211980,Q99704
D211980,P08758
D211980,Q16348
D211980,P22607
D211980,P20700
D211980,P19338
D211980,P22352
D211980,Q15050
D211980,Q9GZT4
D211980,Q9BQ67
D211980,P01375
D211980,P07992
D211980,Q9NYL4
D211980,P42898
D211980,P14780
D211980,P04406
D211980,P12268
D211980,P02647
D211980,Q96KA5
D211980,P0DPB6
D211980,O43524
D211980,Q08050
D211980,P41221
D211980,P25445
D211980,Q08345
D211980,Q96CJ1
D211980,P09601
D211980,Q03135
D211980,P28161
D211980,Q02750
D211980,Q96QS6
D211980,Q9H668
D211980,P27482
D211980,P07355
D211980,Q9NWC5
D211980,O75947
D211980,P51617
D211980,Q14457
D211980,Q96I99
D211980,P02741
D211980,Q16566
D211980,P30530
D211980,P50479
D211980,Q00013
D211980,O75342
D211980,P10398
D211980,P05556
D211980,Q9ULV4
D211980,P09382
D211980,Q8IVF6
D211980,Q13310
D211980,P09936
D211980,P04049
D211980,P05177
D211980,P01111
D211980,P28482
D211980,Q96BI1
D211980,P40692
D211980,Q05D60
D211980,P40337
D211980,P09211
D211980,Q9H3D4
D211980,P21926
D211980,Q8N9Z9
D211980,Q9ULZ3
D211980,P48546
D211980,P12004
D211980,Q9Y282
D211980,P12956
D211980,P16473
D211980,P08034
D211980,P60568
D211980,P12272
D211980,P27695
D211980,P52799
D211980,Q16832
D211980,P06733
D211980,P32297
D211980,P62937
D211980,P02545
D211980,Q9NS23
D211980,O94993
D211980,O75795
D211980,P46776
D211980,P29279
D211980,Q13470
D211980,P40121
D211980,Q9BTL4
D211980,Q16236
D211980,P22455
D211980,P07203
D211980,Q6DN90
D211980,Q15361
D211980,Q01094
D211980,Q08209
D211980,Q16539
D211980,Q02297
D211980,Q07820
D211980,P34896
D211980,Q9UQB9
D211980,Q92597
D211980,Q15828
D211980,Q5T686
D211980,P15408
D211980,P48436
D211980,Q14451
D211980,O15392
D211980,P27169
D211980,P61457
D211980,Q14296
D211980,P49674
D211980,P02787
D211980,P04233
D211980,Q14145
D211980,P35247
D211980,P04083
D211980,P30559
D211980,Q99714
D211980,Q96PM5
D211980,P55087
D211980,Q96EP1
D211980,P42229
D211980,P27930
D211980,P13688
D211980,Q9NPD5
D211980,P11686
D211980,P48431
D211980,Q8IUF8
D211980,Q9UK32
D211980,O43597
D211980,Q92560
D211980,Q9Y5L2
D211980,P40763
D211980,Q96EK6
D211980,P15559
D211980,P40429
D211980,Q6TDU7
D211980,Q00987
D211980,P82675
D211980,P04792
D211980,P16870
D211980,Q9C0J9
D211980,Q16790
D211980,P52789
D211980,P10645
D211980,P05164
D211980,Q9UQC9
D211980,P18146
D211980,P09488
D211980,Q15329
D211980,Q9BZX2
D211980,P17302
D211980,Q9BSB4
D211980,Q9BQE4
D211980,Q07817
D211980,P62072
D211980,P51955
D211980,Q8NEV1
D211980,P05231
D211980,P13639
D211980,A0AVK6
D211980,P41440
D211980,P30926
D211980,P22087
D211980,P09238
D211980,Q96AV8
D211980,P04075
D211980,P60709
D211980,P15692
D211980,Q9NQ55
D211980,Q16665
D211980,Q14790
D211980,P62906
D211980,Q04828
D211980,Q13007
D211980,P19623
D211980,O15527
D211980,Q53EL6
D212050,Q9H257
D212050,Q9BXN2
D212050,O43918
D212110,P42167
D212110,P49768
D212110,Q8N0Z2
D212110,P07203
D212110,P16671
D212110,Q96S65
D212110,Q99959
D212110,P07550
D212110,P51606
D212110,Q5BKX8
D212110,P57059
D212110,P09919
D212110,P08235
D212110,P01160
D212110,P35222
D212110,O76082
D212110,Q16585
D212110,P68133
D212110,P05556
D212110,P04179
D212110,Q9NQB0
D212110,Q9GZL7
D212110,P25874
D212110,Q9Y2T1
D212110,P48023
D212110,P08588
D212110,P16860
D212110,P04049
D212110,P02545
D212110,P45379
D212110,P04278
D212110,P25445
D212110,P52952
D212110,P49810
D212110,P19429
D212110,P63000
D212110,P68032
D212110,P31040
D212140,O76082
D212350,P18847
D212350,P19404
D212350,P26367
D212350,Q15327
D212350,Q99959
D212350,P07550
D212350,P35354
D212350,O43819
D212350,Q9UGJ0
D212350,P07315
D212350,O76082
D212350,P09874
D212350,P04179
D212350,P00395
D212350,P04040
D212350,O60603
D212350,P31749
D212350,P01185
D212350,Q9UG56
D212350,P50461
D212350,P06858
D212350,Q9BUB7
D212350,P78380
D212350,P28482
D212350,Q13522
D212350,P45379
D212350,Q9UBF9
D212350,O75306
D212350,P02511
D212350,Q92963
D212350,P08590
D212350,P19429
D212350,P15121
D212350,O75072
D212350,Q9Y4J8
D212350,P26678
D212350,Q16539
D212350,P25098
D212350,Q0ZGT2
D212350,Q9H4E5
D212350,P13473
D212350,Q04917
D212350,Q9NPC6
D212350,Q8IZQ8
D212350,P50402
D212350,P30301
D212350,O15273
D212350,P30838
D212350,P54646
D212350,P12235
D212350,P10636
D212350,Q02156
D212350,O75845
D212350,Q15759
D212350,P17661
D212350,P07320
D212350,Q13515
D212350,P30411
D212350,Q7Z4I7
D212350,P05067
D212350,P01588
D212350,Q06124
D212350,Q9UBM7
D212350,Q92629
D212350,P16152
D212350,P14210
D212350,P49768
D212350,P61604
D212350,P01583
D212350,P40763
D212350,P02489
D212350,Q9UN36
D212350,P63316
D212350,O75112
D212350,P41181
D212350,P36507
D212350,Q16635
D212350,P14923
D212350,P05112
D212350,P10916
D212350,P40225
D212350,P06280
D212350,O76041
D212350,P01375
D212350,O14958
D212350,P22914
D212350,P29274
D212350,P27361
D212350,P09493
D212350,O75364
D212350,P48165
D212350,O75390
D212350,P11166
D212350,Q53GG5
D212350,P02766
D212350,O00400
